time,irvalue,redvalue
2025-03-02 00:34:37,29663,28757
2025-03-02 00:34:37,29671,28742
2025-03-02 00:34:37,29671,28770
2025-03-02 00:34:37,29688,28766
2025-03-02 00:34:37,29693,28770
2025-03-02 00:34:37,29687,28761
2025-03-02 00:34:37,29626,28749
2025-03-02 00:34:37,29634,28730
2025-03-02 00:34:37,29630,28731
2025-03-02 00:34:38,29650,28734
2025-03-02 00:34:38,29631,28740
2025-03-02 00:34:38,29651,28737
2025-03-02 00:34:38,29663,28759
2025-03-02 00:34:38,29664,28767
2025-03-02 00:34:38,29678,28766
2025-03-02 00:34:38,29675,28751
2025-03-02 00:34:38,29675,28750
2025-03-02 00:34:38,29666,28754
2025-03-02 00:34:38,29704,28766
2025-03-02 00:34:38,29713,28761
2025-03-02 00:34:38,29646,28747
2025-03-02 00:34:38,29652,28762
2025-03-02 00:34:39,29651,28753
2025-03-02 00:34:39,29663,28736
2025-03-02 00:34:39,29642,28733
2025-03-02 00:34:39,29651,28743
2025-03-02 00:34:39,29673,28749
2025-03-02 00:34:39,29688,28750
2025-03-02 00:34:39,29700,28760
2025-03-02 00:34:39,29704,28768
2025-03-02 00:34:39,29709,28751
2025-03-02 00:34:39,29703,28742
2025-03-02 00:34:39,29685,28718
2025-03-02 00:34:39,29617,28725
2025-03-02 00:34:40,29647,28722
2025-03-02 00:34:40,29656,28741
2025-03-02 00:34:40,29662,28750
2025-03-02 00:34:40,29665,28764
2025-03-02 00:34:40,29673,28754
2025-03-02 00:34:40,29669,28741
2025-03-02 00:34:40,29678,28729
2025-03-02 00:34:40,29679,28751
2025-03-02 00:34:40,29706,28757
2025-03-02 00:34:40,29715,28758
2025-03-02 00:34:40,29722,28761
2025-03-02 00:34:40,29724,28777
2025-03-02 00:34:41,29697,28740
2025-03-02 00:34:41,29652,28732
2025-03-02 00:34:41,29660,28731
2025-03-02 00:34:41,29657,28743
2025-03-02 00:34:41,29680,28744
2025-03-02 00:34:41,29675,28749
2025-03-02 00:34:41,29702,28752
2025-03-02 00:34:41,29716,28751
2025-03-02 00:34:41,29720,28736
2025-03-02 00:34:41,29705,28734
2025-03-02 00:34:41,29716,28733
2025-03-02 00:34:41,29719,28742
2025-03-02 00:34:41,29726,28739
2025-03-02 00:34:42,29729,28758
2025-03-02 00:34:42,29742,28771
2025-03-02 00:34:42,29701,28748
2025-03-02 00:34:42,29669,28723
2025-03-02 00:34:42,29663,28723
2025-03-02 00:34:42,29658,28735
2025-03-02 00:34:42,29679,28741
2025-03-02 00:34:42,29691,28740
2025-03-02 00:34:42,29703,28748
2025-03-02 00:34:42,29720,28761
2025-03-02 00:34:42,29730,28747
2025-03-02 00:34:42,29724,28726
2025-03-02 00:34:43,29725,28726
2025-03-02 00:34:43,29718,28753
2025-03-02 00:34:43,29743,28756
2025-03-02 00:34:43,29736,28749
